,name,desc,marker,marker_class
$P1,As75Di,75As,75As,state
$P2,BCKG190Di,190BCKG,190BCKG,state
$P3,Bi209Di,209Bi_Tbet,Tbet,state
$P4,Ce140Di,140Ce,140Ce,state
$P5,Center,NA,NA,none
$P6,Cs133Di,133Cs,133Cs,state
$P7,Dy161Di,161Dy_HLADR_APC,HLADR_APC,type
$P8,Dy163Di,163Dy,163Dy,state
$P9,Dy164Di,164Dy_CD86_biotin,CD86_biotin,state
$P10,Er162Di,162Er_TCR_VB21.3,TCR_VB21.3,state
$P11,Er166Di,166Er_IgD,IgD,type
$P12,Er167Di,167Er_TCR_Va7.2,TCR_Va7.2,state
$P13,Er168Di,168Er_Ki67,Ki67,type
$P14,Er170Di,170Er_CD3,CD3,type
$P15,Eu151Di,151Eu_CD39,CD39,state
$P16,Eu153Di,153Eu_CD66b,CD66b,state
$P17,Event_length,NA,NA,none
$P18,Gd152Di,152Gd_CD45RO,CD45RO,type
$P19,Gd154Di,154Gd_CD45_154,CD45_154,state
$P20,Gd155Di,155Gd_CD31,CD31,type
$P21,Gd156Di,156Gd_CD279_PD1,CD279_PD1,state
$P22,Gd157Di,157Gd,157Gd,state
$P23,Gd158Di,158Gd_CD194_CCR4,CD194_CCR4,type
$P24,Gd160Di,160Gd_CD14,CD14,type
$P25,Ho165Di,165Ho_CD16,CD16,type
$P26,In113Di,113In_CD56,CD56,type
$P27,In115Di,115In_CD8a,CD8a,type
$P28,Ir191Di,191Ir_DNA1,DNA1,state
$P29,Ir193Di,193Ir_DNA2,DNA2,state
$P30,La139Di,139La_CD57,CD57,type
$P31,Lu175Di,175Lu_PE,PE,state
$P32,Lu176Di,176Lu_CD127,CD127,type
$P33,Nd142Di,142Nd_CD19,CD19,type
$P34,Nd143Di,143Nd_CD45RA,CD45RA,type
$P35,Nd144Di,144Nd_FITC_TCR_VB7.1,FITC_TCR_VB7.1,state
$P36,Nd145Di,145Nd_CD4,CD4,type
$P37,Nd146Di,146Nd_EOMES,EOMES,state
$P38,Nd148Di,148Nd_CD28,CD28,state
$P39,Nd150Di,150Nd_KLRG1,KLRG1,type
$P40,Offset,NA,NA,none
$P41,Pb208Di,208Pb,208Pb,state
$P42,Pd102Di,102Pd,102Pd,state
$P43,Pd104Di,104Pd_CD45_104,CD45_104,state
$P44,Pd105Di,105Pd,105Pd,state
$P45,Pd106Di,106Pd,106Pd,state
$P46,Pd108Di,108Pd,108Pd,state
$P47,Pd110Di,110Pd,110Pd,state
$P48,Pr141Di,141Pr_CD27,CD27,type
$P49,Pt194Di,194Pt_Cisplatin,Cisplatin,state
$P50,Pt195Di,195Pt_Cisplatin,Cisplatin,state
$P51,Residual,NA,NA,none
$P52,Rh103Di,103Rh,103Rh,state
$P53,Sm147Di,147Sm_CD185_CXCR5,CD185_CXCR5,state
$P54,Sm149Di,149Sm_CD366_TIM3,CD366_TIM3,state
$P55,Sn120Di,120Sn,120Sn,state
$P56,Tb159Di,159Tb_CD197_CCR7,CD197_CCR7,type
$P57,Tm169Di,169Tm_CD25,CD25,type
$P58,Xe131Di,131Xe,131Xe,state
$P59,Y89Di,89Y_CD11c,CD11c,type
$P60,Yb171Di,171Yb_Granzyme_B,Granzyme_B,state
$P61,Yb172Di,172Yb_CD38,CD38,type
$P62,Yb173Di,173Yb_IntB7,IntB7,type
$P63,Yb174Di,174Yb_TCR_VB13.1,TCR_VB13.1,state
$P64,Time,NA,NA,none
